ID,User,Tweets,fav_count,rt_count,tweet_date,Sentiment
1359819793537368071,Formula Botanica,member exclusive member only community lab formula botanica let u know get month s mini lab cbd hemp love work colleen awesome lesson,2,0,2021-02-11 11:01:17,positive
1359726498584932365,sierraraynes,alert chart ethusd bmex cv d m min study rip formula sell entry row true last price bar start date time alert alertsound,0,0,2021-02-11 04:50:34,positive
1359816130395856896,phiweh,bundle joy bag nappy clothes aprrox item baby formula milk bottle bum cream cotton wool surgical spirit wet wipe baby blanket,1,0,2021-02-11 10:46:44,positive
1359696467133419521,Bot Spotting,ready fav follow retweet win noteworthy spawn jutting share mannequin formula,1,1,2021-02-11 02:51:14,positive
1359744896744247296,savemeplease,monitor keep record day trading realize profit loss create excel format jan dec separate tab bro dad market close i enter amount u be profit loss formula base i type whole thing lol,1,0,2021-02-11 06:03:40,positive
1359808170835783684,Anpario,ensure optimal fundamental lower overall medication antibiotic usage one point l s formula boost unit success read more,0,1,2021-02-11 10:15:06,positive
1359711239656656896,Mads :) ♡’s rose & liz & cali || petunia ate luke,spent day irl school cop watch first season formula race show,0,0,2021-02-11 03:49:56,positive
1359800120687153152,SAP Analytics,mercedes benz eq formula e team secret gain competitive edge get real team find deliver on track performance great fan experience,1,1,2021-02-11 09:43:07,positive
1359812853851688960,Front Row Racing,good news formula canada look forward saturday s sprint race,0,0,2021-02-11 10:33:43,positive
1359825052334702594,Gareth Ware,today s episode thing I remember good reason I oddly glad do abba s session drummer slim borgudd formula point scorer best result th british grand prix,2,0,2021-02-11 11:22:11,positive
1359774515606208515,rolex watches and bling,brand new tag heuer formula chronograph mm stainless steel men s watch cah ba goldsmith,0,0,2021-02-11 08:01:22,positive
1359671995898728449,"Mia P. Manansala (ARSENIC AND ADOBO May 4, 2021)",addition awesome recipe reading recommendation I also give away ebook copy lady s formula love elizabeth everett one lucky newsletter subscriber february newsletter go tomorrow afternoon sign soon possible,10,5,2021-02-11 01:13:59,positive
1359831261053861891,St Mary's School,y student take part math enrichment activity lockdown math support programme stella aoife school proud work algebraic formula win game pig differ variation it outstanding girl,0,0,2021-02-11 11:46:51,positive
1359818210422390788,Young H. 🧡 #WeRaceAsOne,the moment money becomes motivation immediately good someone stimulate passion internal will sebastian vettel formula one driver,0,0,2021-02-11 10:55:00,positive
1359710014500466689,Sam ⓥ,one available amazon elsewhere deva vegan multivitamin mineral supplement pack vegan formula green whole food veggie herb high potency manufacture usa vegan tablet,0,0,2021-02-11 03:45:04,positive
1359798329505419273,Class:PR,famous ultimate online course teach proven step step formula master pr get medium coverage deserve enrol now,0,0,2021-02-11 09:36:00,positive
1359700204040118278,RJ Politics,very needy ccsd school get stung new funding formula,1,0,2021-02-11 03:06:05,positive
1359836565992689667,カニさん,ohh great past era formula,0,0,2021-02-11 12:07:56,positive
1359757352082149379,A ⎊,writer r real cunning perfect opportunity hv blast completes year this either timing wz wrong go cliffhanger weekend formula either way step towards v want,6,2,2021-02-11 06:53:10,positive
